"Subject","CommitId","Author","Date","Log message","Actual refactoring?","Refactoring parent category 3","Refactoring parent category 2","Refactoring parent category 1","Refactoring category","Representative refactoring category","Abbreviation","Is ML-specific refactoring category?","ML technical debt category","Is new technical debt category?","In ML-related code?"
"CoreNLP","7299f6ab5","John Bauer","2014-06-10 18:54:25 -0700","Large scale refactoring - make train() a member function",TRUE,"ML-specific","Reorganization","Introduce inheritance","Replace flags with polymorphic feature extraction","Replace flags with polymorphic feature extraction","FET",TRUE,"Configuration",FALSE,TRUE
"CoreNLP","75285cd46","J38","2019-09-04 22:36:47 -0700","refactored german ner benchmark",TRUE,,,"Generic","Test","Test","TST",FALSE,,,
"CoreNLP","770fac204","John Bauer","2014-06-10 18:51:22 -0700","Code refactoring",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate feature extraction code",TRUE,TRUE
"CoreNLP","8b54f5b96","ameya","2017-07-02 11:23:50 -0700","Refactoring 2 instances from Function<V,Double> to ToDoubleFunction<V>",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,
"CoreNLP","907f380bf","desmorto","2017-11-20 16:24:55 -0800","(refactor) some opportunities to use Anonymous inner Classes",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,
"CoreNLP","95e5211f2","J38","2019-10-17 15:40:33 -0700","refactor to have NERCombinerAnnotator directly alter tokenization to an NER-specific tokenization",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,
"CoreNLP","994c60f09","Spence Green","2014-06-10 18:54:42 -0700","Refactoring for speed",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,TRUE
"CoreNLP","a01361cff","John Bauer","2014-10-24 13:42:13 -0700","Refactor another method",TRUE,,"Generic","Reorganization","Move methods","Reorganization","ORG",FALSE,,,TRUE
"CoreNLP","a0fb86fa1","desmorto","2017-07-27 20:59:26 -0700","(refactor) some opportunities to use diamond operator",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,
"CoreNLP","a1f844ded","John Bauer","2019-09-09 20:21:30 -0700","Update a comment, minor rearrangement to look like the parent class (need to refactor)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,
"CoreNLP","a486eccd8","Jason Bolton","2016-10-23 21:27:31 -0700","coref refactor",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"CoreNLP","b11991d39","Kellen Sunderland","2017-01-14 15:31:49 -0800","Fix multithreading issue with ChineseStringUtils, small refactor",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,
"CoreNLP","b2dcbd32a","Sebastian Schuster","2015-03-20 21:36:21 -0700","refactored collapsed dependencies and updated them to the new standard",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,TRUE
"CoreNLP","b3b0effcd","John Bauer","2014-08-11 16:42:17 -0700","Make the code easy to refactor...",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"CoreNLP","b5cdaee3e","Jason Bolton","2017-09-21 19:06:59 -0700","refactor UniversalDependenciesConverter changes",TRUE,,,"Generic","Simplify regex","Simplify regex","RGX",FALSE,,,
"CoreNLP","b81597f9c","desmorto","2017-11-02 12:58:04 -0700","(refactor) some opportunities to use Switch String",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,
"CoreNLP","cd828aee8","John Bauer","2014-06-10 18:52:46 -0700","Begin refactoring the training program",TRUE,,"Generic","Reorganization","Make more extensible","Make more extensible","EXT",FALSE,"Configuration",FALSE,TRUE
"CoreNLP","d54cbc4b4","Jason Bolton","2016-12-20 23:20:58 -0800","refactor KBP benchmark",TRUE,,,"Generic","Test","Test","TST",FALSE,,,
"CoreNLP","dd8a56669","John Bauer","2014-08-11 17:39:13 -0700","Fix some bugs in the refactoring of the training method",FALSE,,,,,,,,,,TRUE
"CoreNLP","de9a1dbf5","Spence Green","2014-07-02 21:45:55 -0700","Refactor FlatPhraseTable for faster query, lower memory usage; support multiple phrase tables and reordering models",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,TRUE
"CoreNLP","df5439d69","Julie Tibshirani","2014-06-10 16:05:36 -0700","Mostly fixed OneVsAllRelationExtractor (it was broken sometime during refactoring).",FALSE,,,,,,,,,,TRUE
"CoreNLP","fa5d8384d","Gabor Angeli","2016-02-29 00:40:47 -0800","Refactor the KBP relation extractor pipeline a bit",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"CoreNLP","fd3e9fef3","Erich Schubert","2019-09-20 10:49:37 -0700","Various code optimizations: refactor some methods, only run hash lookups once, etc",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,
"DataCleaner","0fc710340","Anand Swarup","2012-08-17 10:48:15 +0000","Refactor some code for better performance",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,FALSE
"DataCleaner","1477597e9","Vaibhav Sehgal","2014-08-11 16:37:57 +0530","Refactor and clean up code.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","174603960","hdrexler","2015-09-02 09:01:58 +0200","Minor refactoring",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DataCleaner","2d4024408","k.houzvicka","2016-03-16 11:35:33 +0100","Refactor for all annotation in transformer class",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,FALSE
"DataCleaner","34ee02495","hdrexler","2015-09-02 17:01:47 +0200","Refactored initialization of String list",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DataCleaner","35c6a5af5","unknown","2015-09-07 08:49:54 +0200","Some refactoring of DataHub connection code. Needs more work.",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DataCleaner","3b0909435","Kasper Sørensen","2011-09-19 14:53:32 +0000","Ticket #688: Fixed refactoring in DataCleaner-core",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DataCleaner","3f403a73f","Kasper Sørensen","2015-06-16 14:56:01 +0200","Made ""create table"" functionality not apply to CSV datastores. Refactored SchemaMouseListener to avoid too long method.",TRUE,,"Generic","Reorganization","Split methods","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","525988f21","Reinier de Jong","2015-08-11 12:57:15 +0200","Refactored the getSchema, getTable and getColumn methods into one getSchemas method which now returns the complete schema, table and column hierarchy as one json",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","596e22db8","Kasper Sørensen","2015-09-15 10:37:28 +0200","Refactor of RowProcessingPublisher and related classes",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","59f39c7b9","Kasper Sørensen","2019-03-24 20:51:31 -0700","Refactored components to have a ""Training analyzer"" per algorithm.",TRUE,,"ML-specific","Reorganization","Push down hyperparameters","Push down hyperparameters","HYP",TRUE,"Configuration",FALSE,TRUE
"DataCleaner","5a4aa9026","hdrexler","2015-09-30 15:49:26 +0200","Refactor CasHttpMonitorClient",TRUE,,"Generic","Reorganization","Reorganize class hierarchy","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","6c1f52de1","Kasper Sørensen","2014-05-19 10:34:08 +0200","Refactored result-modification code: Moved from controller layer to DAO layer.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","7387baf67","tomaszguzialek","2015-05-11 11:09:15 +0200","Refactoring the test to remove the test file even if the test fails (tearDown method).",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DataCleaner","80b2fcbb5","Reinier de Jong","2015-08-31 09:00:17 +0200","Refactored",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","84a470b5b","Jakub Neubauer","2015-09-25 08:43:38 +0200","Using default value on client side (RemoteTransformer). Also refactored property descriptors to avoid code duplicates",TRUE,,"Generic","Reorganization","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,,,FALSE
"DataCleaner","949711354","Kasper Sørensen","2015-08-24 20:51:31 +0200","Various refactorings to Spark module",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","b907e804a","Kasper Sørensen","2015-05-04 09:17:56 +0200","Minor refactor to have removeUnnecesaryEdges incapsulate the for-loop",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"DataCleaner","f84d7cf6d","Kasper Sørensen","2015-09-15 11:43:09 +0200","Handled PR review feedback. Refactor of runRowProcessing(..)",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"deeplearning4j","190575196c","shugeo","2019-12-03 14:06:38 +0200","Refactored pad and mirror_pad ops to conform with TF. (#100)",TRUE,,"Generic","Make more interoperable","Replace data types","Make more interoperable","INT",FALSE,"Custom data types",TRUE,TRUE
"deeplearning4j","3c0c59ab88","shugeo","2019-10-09 22:09:33 +0300","Refactored fake_quant_with_min_max_vars op.",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"deeplearning4j","59a6e4e3ae","Robert Altena","2019-08-28 12:03:23 +0900","INDArray refactoring (#170)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"deeplearning4j","59cba587f4","Robert Altena","2019-08-15 13:50:52 +0900","Nd4j refactoring (#112)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"deeplearning4j","6cf3a8fa9c","shugeo","2019-10-07 17:51:07 +0300","Refactored cpu implementatio and added cuda aproach.",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,TRUE
"deeplearning4j","83d958d536","Robert Altena","2019-09-18 04:56:29 +0900","Sparse matrix refactoring. (#8238)",TRUE,,,"Generic","Dead code elimination","Dead code elimination","DED",FALSE,"Dead experimental codepaths",FALSE,TRUE
"deeplearning4j","aa4af2c36d","Robert Altena","2019-07-29 21:20:16 +0900","refactor duplicate code from pad methods. (#86)",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"deeplearning4j","aa4af2c36d","Robert Altena","2019-07-29 21:20:16 +0900","refactor duplicate code from pad methods. (#86)",TRUE,,"Generic","Clean up","Replace switch with if/else","Clean up","CLN",FALSE,"Model code comprehension",TRUE,TRUE
"deeplearning4j","c3f755d975","shugeo","2019-10-10 18:02:49 +0300","Refactored helpers both for cuda and cpu platforms.",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"deeplearning4j","dcc72e23b2","Samuel Audet","2019-07-22 20:34:08 +0900","Refactor NativeOps.h to export C functions",TRUE,,"Generic","Make more interoperable","Make internal functions external","Make more interoperable","INT",FALSE,"Glue code",FALSE,TRUE
"deeplearning4j","e565788329","raver119","2019-08-02 11:50:54 +0300","cuda build fix for issues introduced by recent refactoring",FALSE,,,,,,,,,,TRUE
"deeplearning4j","e7730eded4","Robert Altena","2019-12-06 12:25:41 +0900","delete unused and refactor. (#8262)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"deeplearning4j","e7730eded4","Robert Altena","2019-12-06 12:25:41 +0900","delete unused and refactor. (#8262)",TRUE,,,"Generic","Dead code elimination","Dead code elimination","DED",FALSE,,,TRUE
"deeplearning4j","f3e42173ef","shugeo","2019-10-02 16:51:09 +0300","Refactored buffer copying to avoid wrong usage of buffers.",TRUE,,,"Generic","Safety","Safety","SAF",FALSE,"Multiple languages",FALSE,FALSE
"deeplearning4j","f8615e0ef0","Robert Altena","2019-08-07 19:31:48 +0900","nd4j refactoring. (#103)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"deeplearning4j","f8615e0ef0","Robert Altena","2019-08-07 19:31:48 +0900","nd4j refactoring. (#103)",TRUE,,"Generic","New language feature","Use diamond syntax","New language feature","LNG",FALSE,,,TRUE
"DigitRecognizer","0000036","klevis.ramo","2017-11-29 22:41:16 +0100","refactor",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"DigitRecognizer","c0512c1","klevis.ramo","2017-11-29 21:59:47 +0100","refactor",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,"Boundary erosion",FALSE,TRUE
"elasticsearch","057cdffed54","Dimitris Athanasiou","2018-05-01 09:50:32 +0100","[ML] Refactor DataStreamDiagnostics to use array (#30129)",TRUE,,"Generic","Reorganization","Extract classes","Improve performance","PRF",FALSE,,,FALSE
"elasticsearch","057cdffed54","Dimitris Athanasiou","2018-05-01 09:50:32 +0100","[ML] Refactor DataStreamDiagnostics to use array (#30129)",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,TRUE
"elasticsearch","0a4e582404d","kimchy","2011-06-03 04:32:27 +0300","Query Parser Module Refactor, closes #994.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","0d6cbf92e59","David Kyle","2019-05-31 15:01:12 +0100","[ML Data Frame] Refactor stop logic (#42644)",TRUE,,,"Generic","Concurrency","Concurrency","CON",FALSE,,,TRUE
"elasticsearch","22eea8aba0b","uboness","2014-11-22 05:31:03 +0100","[Cleanup] - Refactored security filter",TRUE,,"Generic","Reorganization","Make internal classes external","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","22eea8aba0b","uboness","2014-11-22 05:31:03 +0100","[Cleanup] - Refactored security filter",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","28d6b505ed9","Dimitrios Athanasiou","2017-03-24 10:51:25 +0000","[ML] Minor refactoring to improve code readability",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"elasticsearch","3a0d1841d9d","javanna","2015-10-05 14:50:15 +0200","Query refactoring: simplify IndexQueryParserService parse methods and prepare the field for #13859",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","3ed848a495a","kimchy","2011-02-15 07:00:24 +0200","ThreadPool: Refactor into several pools, with configurable types per pool, closes #687.",TRUE,,,"Generic","Concurrency","Concurrency","CON",FALSE,,,FALSE
"elasticsearch","3ed848a495a","kimchy","2011-02-15 07:00:24 +0200","ThreadPool: Refactor into several pools, with configurable types per pool, closes #687.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","46ff97af5e0","kimchy","2010-02-23 21:30:10 +0200","refactor json handling to use byte[] instead of string for better performance, storage, and memory consumption (apply to search)",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,FALSE
"elasticsearch","4acb50fd1c2","Benjamin Trent","2019-02-19 08:46:46 -0600","ML refactor DatafeedsConfig(Update) so defaults are not populated in queries or aggs (#38822)",TRUE,,"Generic","Clean up","Remove data caching","Clean up","CLN",FALSE,"Configuration",FALSE,TRUE
"elasticsearch","5d095e2173b","Costin Leau","2019-12-06 18:09:56 +0200","Refactor usage of NamedExpression (#49693)",TRUE,,,"Generic","Concurrency","Concurrency","CON",FALSE,,,FALSE
"elasticsearch","701dc53c2a2","Dimitris Athanasiou","2017-06-23 12:36:32 +0100","[ML] Refactor aggregation response handling to make more flexible (elastic/x-pack-elasticsearch#1795)",FALSE,,,,,,,,,,
"elasticsearch","70615dd38dd","Benjamin Trent","2019-03-20 11:05:22 -0500","[ML] Refactor GET Transforms API (#40015)",TRUE,,"Generic","Duplicate code elimination","Introduce inheritance","Duplicate code elimination","DUP",FALSE,"Configuration",FALSE,TRUE
"elasticsearch","70615dd38dd","Benjamin Trent","2019-03-20 11:05:22 -0500","[ML] Refactor GET Transforms API (#40015)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"elasticsearch","83ef1553bfb","Julie Tibshirani","2019-10-30 15:20:49 -0700","Refactor unit tests for vector functions. (#48662)",TRUE,,,"Generic","Test","Test","TST",FALSE,,,FALSE
"elasticsearch","92ac431c242","Benjamin Trent","2019-03-08 22:17:33 -0600","[ML] refactoring lazy query and agg parsing (#39776)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,"Configuration",FALSE,TRUE
"elasticsearch","92ac431c242","Benjamin Trent","2019-03-08 22:17:33 -0600","[ML] refactoring lazy query and agg parsing (#39776)",TRUE,,,"Generic","Test","Test","TST",FALSE,,,TRUE
"elasticsearch","97703bf0da3","Dimitris Athanasiou","2018-03-21 14:54:55 +0000","[ML] Refactor method to process model size stats (elastic/x-pack-elasticsearch#4175)",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,TRUE
"elasticsearch","9e891de777c","Colin Goodheart-Smithe","2017-11-24 17:22:51 +0000","refactors code to allow better testing",TRUE,,,"Generic","Test","Test","TST",FALSE,,,FALSE
"elasticsearch","a4da1c9b461","Przemko Robakowski","2020-01-21 21:43:50 +0100","Refactor ForEachProcessor to use iteration instead of recursion (#51104)",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,FALSE
"elasticsearch","a84946c308e","Benjamin Trent","2019-04-04 07:40:47 -0500","[ML] refactoring start task a bit, removing unused code (#40798)",TRUE,,"Generic","Duplicate code elimination","Introduce inheritance","Duplicate code elimination","DUP",FALSE,"Configuration",FALSE,TRUE
"elasticsearch","ad87f332a01","Hendrik Muhs","2019-05-03 13:36:59 +0200","[ML-DataFrame] refactor pivot to only take the pivot config (#41763)",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,"Configuration",FALSE,TRUE
"elasticsearch","b4d75a50bf1","Shay Banon","2013-05-25 22:43:48 +0200","Dates accessed from scripts should use UTC timezone this was broken in the field data refactoring we did in 0.90, fixes #3091",FALSE,,,,,,,,,,FALSE
"elasticsearch","c3784326ebb","Jim Ferenczi","2017-07-21 16:52:57 +0200","Refactor field expansion for match, multi_match and query_string query (#25726)",FALSE,,,,,,,,,,FALSE
"elasticsearch","c567ec4a0fe","Albert Zaharovits","2018-08-26 14:09:23 +0300","Refactor CachingUsernamePassword realm (#32646)",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,FALSE
"elasticsearch","c567ec4a0fe","Albert Zaharovits","2018-08-26 14:09:23 +0300","Refactor CachingUsernamePassword realm (#32646)",TRUE,,,"Generic","Dead code elimination","Dead code elimination","DED",FALSE,,,FALSE
"elasticsearch","c567ec4a0fe","Albert Zaharovits","2018-08-26 14:09:23 +0300","Refactor CachingUsernamePassword realm (#32646)",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,,,FALSE
"elasticsearch","ce58723cc5b","kimchy","2010-02-21 10:28:11 +0200","refactor mapping names into a separate class (Names), create a NamedAnalyzer wrapper which allows to know the logical name the analyzer was created under",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,FALSE
"elasticsearch","cebdae5707a","kimchy","2011-01-31 16:08:06 +0200","refactor script execution handling to improve performance, also introduce specific search script executor",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,FALSE
"elasticsearch","ddd3ed4f224","Jason Tedor","2017-11-09 15:17:11 -0500","Additional engine refactoring",TRUE,,,"Generic","Test","Test","TST",FALSE,,,FALSE
"elasticsearch","eb70849a21e","Josemy Duarte","2019-11-11 19:29:13 +0100","Refactor and DRY up Kahan Sum algorithm (#48558)",TRUE,,"Generic","Reorganization","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,,,FALSE
"elasticsearch","eed557742f5","Ali Beyad","2016-02-10 14:27:37 -0500","Refactors building query specific objects from the term suggestion builder and merges changes between the suggestion builders to context object implementations.",TRUE,,"Generic","Reorganization","Move classes","Reorganization","ORG",FALSE,,,FALSE
"elki","0b675696f","Erich Schubert","2015-07-24 23:39:17 +0200","Refactor IntegerDataStore -> DBIDs[] transformation for clustering.",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"elki","0b675696f","Erich Schubert","2015-07-24 23:39:17 +0200","Refactor IntegerDataStore -> DBIDs[] transformation for clustering.",TRUE,,"Generic","Improve performance","Convert reference type to primitive","Improve performance","PRF",FALSE,,,TRUE
"elki","15d28c899","Erich Schubert","2018-10-14 18:23:30 +0200","More refactoring of k-means, to reduce redundancies.",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"elki","1684e7398","Erich Schubert","2013-03-13 12:59:41 +0000","Refactor M-Trees to use settings classes.",TRUE,,,"Generic","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,"Configuration",FALSE,TRUE
"elki","1684e7398","Erich Schubert","2013-03-13 12:59:41 +0000","Refactor M-Trees to use settings classes.",TRUE,,,"ML-specific","Replace primitives with rich model parameter","Replace primitives with rich model parameter","PRM",TRUE,"Plain-old-data type",FALSE,TRUE
"elki","239bbcd71","Erich Schubert","2013-03-05 18:28:39 +0000","Refactor LRU Cache into a page file factory. Also make the alternative OnDiskArrayPageFile accessible via a separate factory (NIO based, so supposedly faster).",TRUE,,,"Generic","Improve performance","Improve performance","PRF",FALSE,,,FALSE
"elki","28208c0f6","Remigius Wojdanowski","2009-09-08 15:00:00 +0000","Add Some Documentation and fix some problems due to the Number-/FeatureVector-Refactoring.",FALSE,,,,,,,,,,TRUE
"elki","2b6afd6bf","Erich Schubert","2014-06-11 11:18:08 +0000","Refactoring of NumberVectorDistanceFunction; a bit clumsy (AFAICT due to java limitations wrt. Contravariance!); add HammingDistance and JaccardDistance that allow Bit vectors, numerical vectors, and non-numerical feature vectors.",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"elki","2c706ffa1","Remigius Wojdanowski","2009-07-24 20:27:09 +0000","Some more refactoring. Using one-dimensional visualizations should be possible now, but wasn't tested.",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,TRUE
"elki","30af0d3ae","Erich Schubert","2016-11-08 15:17:25 +0100","Refactor cluster model classes for prototypes.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,"Prototype",FALSE,TRUE
"elki","3ba90d540","Erich Schubert","2014-06-30 15:21:16 +0000","Cleanup and refactor classification code.",TRUE,,,"ML-specific","Replace primitives with rich prediction","Replace primitives with rich prediction","PRD",TRUE,"Plain-old-data type",FALSE,TRUE
"elki","40ff48a9b","Erich Schubert","2009-05-20 15:59:33 +0000","Refactor mahalanobis-distance (on raw double vectors) into MathUtil class.",TRUE,,,"Generic","Reorganization","Reorganization","ORG",FALSE,,,TRUE
"elki","458ba6992","Alexander Koos","2014-12-14 16:50:10 +0000","BA-Thesis: Refactoring DataModell, splitted Gaussian-Cases",TRUE,"Generic","Reorganization","Duplicate code elimination","Reorganize class hierarchy","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
"elki","49c6b0d78","Elke Achtert","2006-03-02 14:59:57 +0000","refactoring feature extraction - done by PETE ;-)",FALSE,,,,,,,,,,TRUE
"elki","5bfafafd0","Elke Achtert","2010-04-08 08:13:12 +0000","Refactoring SubspaceAndMeanModel",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,TRUE
"elki","5c3dcd350","Elke Achtert","2006-01-18 08:36:30 +0000","refactoring feature extraction for images",TRUE,,"ML-specific","Improve comprehension","Make matrix variable names more verbose","Make matrix variable names more verbose","VRB",TRUE,"Model code comprehension",TRUE,TRUE
"elki","5c3dcd350","Elke Achtert","2006-01-18 08:36:30 +0000","refactoring feature extraction for images",TRUE,,,"ML-specific","Monitor feature extraction progress","Monitor feature extraction progress","MON",TRUE,"Monitoring and testing",FALSE,TRUE
"elki","5dd0745b5","Erich Schubert","2019-12-07 13:11:14 +0100","Refactor KMeans++ code",TRUE,"Generic","Reorganization","Duplicate code elimination","Introduce inheritance","Duplicate code elimination","DUP",FALSE,"Duplicate model code",TRUE,TRUE
